sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
GOOGL,GOOG,0.01,-4.05,-3.37,1.0,37
CSCO,INTC,0.01,-4.06,-3.37,1.12,33
AMZN,TSLA,0.02,-3.66,-3.37,0.16,29
GOOGL,CMCSA,0.01,-3.87,-3.37,2.82,25
GOOG,CMCSA,0.01,-3.8,-3.37,2.83,25
AMZN,NVDA,0.02,-3.6,-3.37,0.62,24
MSFT,CMCSA,0.03,-3.53,-3.37,6.38,23
TSLA,ASML,0.03,-3.57,-3.37,1.39,23
COST,AVGO,0.03,-3.53,-3.37,0.92,18
TSLA,MSFT,0.03,-3.49,-3.37,3.1,15
MSFT,AMZN,0.04,-3.38,-3.37,1.99,13
TSLA,META,0.04,-3.42,-3.37,3.56,13
TSLA,CMCSA,0.02,-3.64,-3.37,19.78,13
NVDA,INTC,0.03,-3.5,-3.37,5.05,12
TSLA,TXN,0.04,-3.42,-3.37,5.25,12
AVGO,INTC,0.03,-3.53,-3.37,12.06,11
TSLA,GOOGL,0.04,-3.42,-3.37,7.0,11
TSLA,GOOG,0.04,-3.42,-3.37,6.98,11
ASML,NVDA,0.03,-3.58,-3.37,2.76,10
MSFT,NVDA,0.0,-4.5,-3.37,1.23,8
GOOG,NVDA,0.01,-3.78,-3.37,0.55,8
GOOGL,NVDA,0.01,-3.78,-3.37,0.55,8
GOOGL,AMZN,0.01,-3.94,-3.37,0.88,8
MSFT,ASML,0.01,-3.88,-3.37,0.45,7
TMUS,INTC,0.02,-3.7,-3.37,2.63,7
GOOG,AMZN,0.01,-3.93,-3.37,0.88,6
TMUS,CMCSA,0.04,-3.38,-3.37,2.65,5
AZN,QCOM,0.02,-3.63,-3.37,0.39,4
